Semestre,clv_Mat,Materia,Turno,Grupo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Salón
1,1110,ALGEBRA,M,1107,,"11,00 - 13,00",,"11,00 - 13,00",,,A214
1,1109,CALCULO DIFERENCIAL E INTEGRAL,M,1107,,"09,00 - 11,00",,"09,00 - 11,00",,,A214
1,1111,COMPUTADORAS Y PROGRAMACION,M,1107,,"07,00 - 09,00",,"07,00 - 09,00",,,A214
1,1108,GEOMETRIA ANALITICA,M,1107,"08,30 - 10,00",,"08,30 - 10,00",,"08,30 - 10,00",,A214
1,1112,INTRODUCCION A LA INGENIERIA EN COMPUTACION,M,1107,"10,00 - 11,30",,"10,00 - 11,30",,,,A214
1,1110,ALGEBRA,M,1108,"07,00 - 08,30",,"07,00 - 08,30",,"07,00 - 08,30",,A215
1,1109,CALCULO DIFERENCIAL E INTEGRAL,M,1108,"10,00 - 11,30",,"10,00 - 11,30",,"10,00 - 11,30",,A215
1,1111,COMPUTADORAS Y PROGRAMACION,M,1108,,"07,00 - 09,15",,"07,00 - 09,15",,,A215
1,1108,GEOMETRIA ANALITICA,M,1108,"08,30 - 10,00",,"08,30 - 10,00",,"08,30 - 10,00",,A215
1,1112,INTRODUCCION A LA INGENIERIA EN COMPUTACION,M,1108,"11,30 - 13,00",,"11,30 - 13,00",,,,A215
1,1110,ALGEBRA,M,1109,"10,00 - 11,30",,"10,00 - 11,30",,"10,00 - 11,30",,A216
1,1109,CALCULO DIFERENCIAL E INTEGRAL,M,1109,"11,30 - 13,00",,"11,30 - 13,00",,"11,30 - 13,00",,A216
1,1111,COMPUTADORAS Y PROGRAMACION,M,1109,,"08,45 - 11,00",,"08,45 - 11,00",,,A216
1,1108,GEOMETRIA ANALITICA,M,1109,,"11,00 - 13,00",,"11,00 - 13,00",,,A216
1,1112,INTRODUCCION A LA INGENIERIA EN COMPUTACION,M,1109,,"07,00 - 08,30",,"07,00 - 08,30",,,A216
1,1110,ALGEBRA,T,1157,,"13,00 - 15,00",,"13,00 - 15,00",,,A214
1,1109,CALCULO DIFERENCIAL E INTEGRAL,T,1157,"16,00 - 17,30",,"16,00 - 17,30",,"16,00 - 17,30",,A214
1,1111,COMPUTADORAS Y PROGRAMACION,T,1157,,"15,45 - 18,00",,"15,45 - 18,00",,,A214
1,1108,GEOMETRIA ANALITICA,T,1157,,"18,00 - 20,15",,"18,00 - 20,15",,,A214
1,1112,INTRODUCCION A LA INGENIERIA EN COMPUTACION,T,1157,"14,30 - 16,00",,"14,30 - 16,00",,,,A214
1,1110,ALGEBRA,T,1158,,"13,00 - 15,15",,"13,00 - 15,15",,,A215
1,1109,CALCULO DIFERENCIAL E INTEGRAL,T,1158,,"17,30 - 19,45",,"17,30 - 19,45",,,A215
1,1111,COMPUTADORAS Y PROGRAMACION,T,1158,,"15,15 - 17,30",,"15,15 - 17,30",,,A215
1,1108,GEOMETRIA ANALITICA,T,1158,"16,00 - 17,30",,"16,00 - 17,30",,"16,00 - 17,30",,A215
1,1112,INTRODUCCION A LA INGENIERIA EN COMPUTACION,T,1158,,"20,00 - 21,30",,"20,00 - 21,30",,,A215
1,1110,ALGEBRA,T,1159,"13,00 - 15,00",,"13,00 - 15,00",,,,A216
1,1109,CALCULO DIFERENCIAL E INTEGRAL,T,1159,,"15,00 - 17,15",,"15,00 - 17,15",,,A216
1,1111,COMPUTADORAS Y PROGRAMACION,T,1159,,"17,15 - 19,30",,"17,15 - 19,30",,,A216
1,1108,GEOMETRIA ANALITICA,T,1159,"17,30 - 19,00",,"17,30 - 19,00",,"17,30 - 19,00",,A216
1,1112,INTRODUCCION A LA INGENIERIA EN COMPUTACION,T,1159,"16,00 - 17,30",,"16,00 - 17,30",,,,A216
2,62,ALGEBRA LINEAL,M,1207,"10,45 - 13,00",,"10,45 - 13,00",,,,A8118
2,63,CALCULO VECTORIAL,M,1207,"08,30 - 10,00",,"08,30 - 10,00",,"08,30 - 10,00",,A8120
2,1209,COMUNICACION,M,1207,"07,00 - 08,20",,"07,00 - 08,20",,"07,00 - 08,20",,A8117
2,1210,EMPRENDIMIENTO 1,M,1207,,"07,00 - 09,00",,"07,00 - 09,00",,,A8119
2,1203,PROGRAMACION ORIENTADA A OBJETOS,M,1207,,"08,45 - 11,00",,"08,45 - 11,00",,,A11201
2,1211,TALLER DE CREATIVIDAD E INNOVACION,M,1207,,"07,00 - 08,30",,"07,00 - 08,30",,,A8121
2,62,ALGEBRA LINEAL,M,1208,"13,00 - 15,15",,"13,00 - 15,15",,,,A8117
2,1210,EMPRENDIMIENTO 1,M,1208,"07,00 - 09,00",,"07,00 - 09,00",,,,A504
